Economy,Year,GDP,SteelProduction,Population,GDPpercap,PROpercap,lnGDPpercap,lnPROpercap
PE,1998,24.2358568633543,0.63,25658.07,0.0009445705333002171,2.455367843333501e-05,-6.9647801958859095,-10.614648880596059
RP,1998,73.43149862207841,0.88,74672.009,0.0009833872103545305,1.1784871088710095e-05,-6.924507608608398,-11.34869396022658
RUS,1998,280.872502573032,43.82,147360.613,0.0019060215403218497,0.00029736575539353923,-6.262737172490875,-8.120547677193725
SIN,1998,44.444691319163596,0.5,3860.7209999999895,0.01151201843364587,0.00012950948799460033,-4.464363708143499,-8.951756413140961
CT,1998,71.52965792617239,16.97,21721.513,0.003293032945088696,0.0007812531290983275,-5.715946271055904,-7.1546113516758245
THA,1998,154.66472830790903,1.81,61585.103,0.002511398386520666,2.9390224450870855e-05,-5.986915554871723,-10.434848440581634
USA,1998,2049.8904326155803,98.66,275175.309,0.007449398131194904,0.00035853507481661443,-4.899622037613249,-7.933484065007147
VN,1998,36.1902810461587,0.31,78115.712,0.0004632906763514964,3.968471797325485e-06,-7.677155890174353,-12.4371294750741
AUS,1999,85.32063300180161,8.17,18788.187,0.004541185001075495,0.0004348477051032119,-5.394567287534213,-7.740514691387034
BD,1999,3.02891765598127,1.0,326.214,0.009285063350994348,0.0030654723586357423,-4.679348261261127,-5.787553607720879
CDA,1999,190.166742248583,16.24,30302.511,0.0062756100393324835,0.0005359291842184299,-5.071084581266094,-7.531508524617422
CHL,1999,35.99172124044561,1.29,15162.801,0.0023736855242277206,8.507662931143132e-05,-6.043311458196047,-9.37195818628927
PRC,1999,1273.7672920031998,123.95,1281514.833,0.0009939543883556437,9.672147119033775e-05,-6.913819239326692,-9.243675140955204
HKC,1999,10.327608912944,1.0,6522.46099999999,0.001583391439664264,0.00015331636325613927,-6.448186251541754,-8.783007037690592
INA,1999,298.091856041902,2.89,208615.171,0.0014289078527366641,1.3853259023045836e-05,-6.550844865852786,-11.18699004448847
JPN,1999,985.0635162714732,94.19,127326.063,0.00773654264540853,0.0007397542795303425,-4.861800377814422,-7.20919248159715
KOR,1999,242.343631604648,41.04,47016.95200000001,0.005154388391758104,0.0008728766594652922,-5.267906812245803,-7.043716295651044
MAS,1999,104.93690818218799,2.77,22661.293,0.004630667287263263,0.00012223486100285626,-5.375054298749584,-9.009566273655103
MEX,1999,323.203327934097,15.27,97484.823,0.0033154220112201157,0.00015663976740256275,-5.709170359911239,-8.761561864100422
NZ,1999,18.605148278322503,0.78,3818.128,0.004872845613955976,0.00020428859378208378,-5.324077197552473,-8.495976888428201
PNG,1999,1.4222187872382197,1.0,5716.166,0.00024880641801484064,0.00017494243519170017,-8.298835401552374,-8.651053579915681
PE,1999,24.281429917624997,0.56,26078.295,0.0009310972944214719,2.1473796503950895e-05,-6.979146780861283,-10.748677133389572
RP,1999,75.73137069623952,0.53,76325.927,0.0009922102969838744,6.943905181787049e-06,-6.915575480219434,-11.877646235396016
RUS,1999,298.848103124916,51.51,146915.915,0.002034143837479527,0.00035060871383471283,-6.197680267297794,-7.955839731722355
SIN,1999,47.326785120247,0.59,3954.741,0.011967101036514655,0.00014918802520822474,-4.425593974498794,-8.810303133414113
CT,1999,80.2192160229271,15.44,21838.635,0.003673270606103683,0.0007070038947031259,-5.606672840449589,-7.254474383309005
THA,1999,167.80791729553798,1.53,62298.569,0.002693607894838451,2.4559151591427406e-05,-5.916873759159999,-10.61442599960499
USA,1999,2103.6268835186293,97.43,278548.148,0.007552112260027051,0.00034977794934037764,-4.885927985309397,-7.958212035273041
VN,1999,39.1266302371153,0.31,79035.871,0.0004950490168839324,3.922269674234374e-06,-7.610853776290193,-12.448840073187702
AUS,2000,85.82863198178941,7.13,18991.434,0.004519333926115816,0.000375432418636739,-5.399390657475569,-7.887432079957252
BD,2000,3.5329142255989896,1.0,333.166,0.010604065917887748,0.0030015067563917085,-4.546517774251806,-5.808640864269843
CDA,2000,199.03206115470797,16.6,30588.379,0.006506786814518938,0.0005426897580940788,-5.034909521489634,-7.518972749204783
CHL,2000,39.2415781158736,1.35,15342.35,0.002557729299349422,8.799173529478862e-05,-5.968635406542864,-9.33826766500123
PRC,2000,1381.9293497657095,128.5,1290550.767,0.0010708058800182865,9.95698916197692e-05,-6.83934375509456,-9.214650732047657
HKC,2000,11.1190692173946,1.0,6606.328,0.001683093727316385,0.00015137001977497938,-6.387121674702395,-8.795783256549791
INA,2000,272.631484712495,2.85,211513.822,0.0012889535167706205,1.347429672941185e-05,-6.653924617141088,-11.214726633298408
JPN,2000,1016.3592659836901,106.44,127524.168,0.007969934498876244,0.0008346653161461912,-4.832079004673479,-7.088479732449417
KOR,2000,272.40825285270404,43.11,47379.237,0.005749528065483706,0.0009098922382392945,-5.158637503109313,-7.002184384982781
